Compliance Name,Domain Name,Category,Typical Applicability / SBU,Indicative Process Owner
Companies Act Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Corporate Governance Code,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Board Governance,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Board Committee Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Shareholder Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Director Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Corporate Secretarial Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Annual General Meeting (AGM),Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Extraordinary General Meeting (EGM),Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Statutory Registers,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Beneficial Ownership,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Delegation of Authority (DOA),Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Approval Matrix,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Related Party Transactions,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Corporate Disclosure,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Corporate Record Management,Corporate Governance Compliance,"Governance, Legal & Integrity",All legal entities and corporate offices,Company Secretary / Board Office
Legal Register,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Statutory Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Regulatory Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Contract Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Contract Lifecycle Management,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Intellectual Property,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Trademark Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Copyright Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Patent Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Litigation Management,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Court Order Compliance,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Arbitration Management,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Legal Opinion Register,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Legal Notice Management,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Licence Management,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Permit Management,Legal Compliance,"Governance, Legal & Integrity","All SBUs, entities, sites and contracts",Head of Legal
Ministry Requirements,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Regulatory Authority Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Industry Regulator Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Local Government Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Municipal Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Fire Service Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Factory Inspection Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Environmental Regulator Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Customs Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Export Promotion Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Standards Authority Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Utility Regulatory Compliance,Regulatory Compliance,"Governance, Legal & Integrity","All regulated entities, facilities and activities",Head of Compliance / Legal
Corporate Income Tax,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
VAT,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Customs Duty,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Import Duty,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Export Duty,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Withholding Tax,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Advance Income Tax,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Transfer Pricing,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Excise Duty,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Supplementary Duty,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
