Compliance Name,Domain Name,Category,What It Is,Why It Is Important,Why It Is Needed,How It Should Work,Minimum Requirements for Compliance,Required Evidence,Audit / Pass Criteria,Non-Compliance Triggers,Typical Applicability / SBU,Indicative Process Owner
Companies Act Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity","Companies Act Compliance is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Corporate Governance Code,Corporate Governance Compliance,"Governance, Legal & Integrity","Corporate Governance Code is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Board Governance,Corporate Governance Compliance,"Governance, Legal & Integrity","Board Governance is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Board Committee Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity","Board Committee Compliance is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Shareholder Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity","Shareholder Compliance is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Director Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity","Director Compliance is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Corporate Secretarial Compliance,Corporate Governance Compliance,"Governance, Legal & Integrity","Corporate Secretarial Compliance is the governance arrangements, decision rights, approvals and records that direct and oversee the organization. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects accountability, lawful decision-making, shareholder interests and reliable oversight, and prevents unauthorized commitments or management override.","It is needed to meet company law, governance codes, constitutional documents, board mandates and stakeholder expectations. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain approved governance bodies, charters, authority limits, meeting calendars, disclosures and decision records; route matters through authorized review and preserve an auditable trail. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define applicable governance rules; assign board/management accountability; maintain approved charters and authority matrices; schedule required meetings and filings; declare conflicts; document decisions; monitor overdue actions and exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Approved charters, board/committee papers, agendas, minutes, resolutions, registers, declarations, authority approvals, filings and action-closure records. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when required governance actions occurred on time, by authorized persons, with complete approvals and records, and no unresolved mandatory governance breach remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes missing or late meetings/filings, unauthorized approval, undisclosed conflicts, incomplete statutory records, invalid delegations or unsupported decisions.",All legal entities and corporate offices,Company Secretary / Board Office
Annual General Meeting (AGM),Corporate Governance Compliance,"Governance, Legal & Integrity","Annual General Meeting (AGM) is the controlled preparation, review, approval, submission and retention of a mandatory filing, return, disclosure, register or formal record. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","Timely and accurate filings demonstrate accountability and prevent penalties, invalid corporate actions, tax exposure, regulator concern and unreliable public or stakeholder information.","It is needed where legislation, regulators, licences, standards, contracts or governance rules impose a form, content, frequency or deadline. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use a validated compliance calendar, controlled source data, reconciliation, maker-checker approval, authorized submission, official acknowledgement, exception handling and post-filing review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Validate source, scope, form and deadline; identify data owners; reconcile source data; perform technical and Legal/Finance review as relevant; secure authorized approval; file before deadline; retain submitted version and official receipt; correct errors transparently; monitor changes. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Completed filing/return/register, source-data reconciliation, review checklist, approvals, submission log, official receipt, payment evidence, correspondence and correction record. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the required item is complete, accurate, approved, submitted within the confirmed deadline and supported by an official acknowledgement and retained working papers. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes late/non-filing, inaccurate or incomplete data, unauthorized submission, missing payment, unsupported adjustment, absent official receipt or an outdated statutory register.",All legal entities and corporate offices,Company Secretary / Board Office
Extraordinary General Meeting (EGM),Corporate Governance Compliance,"Governance, Legal & Integrity","Extraordinary General Meeting (EGM) is the controlled preparation, review, approval, submission and retention of a mandatory filing, return, disclosure, register or formal record. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","Timely and accurate filings demonstrate accountability and prevent penalties, invalid corporate actions, tax exposure, regulator concern and unreliable public or stakeholder information.","It is needed where legislation, regulators, licences, standards, contracts or governance rules impose a form, content, frequency or deadline. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use a validated compliance calendar, controlled source data, reconciliation, maker-checker approval, authorized submission, official acknowledgement, exception handling and post-filing review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Validate source, scope, form and deadline; identify data owners; reconcile source data; perform technical and Legal/Finance review as relevant; secure authorized approval; file before deadline; retain submitted version and official receipt; correct errors transparently; monitor changes. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Completed filing/return/register, source-data reconciliation, review checklist, approvals, submission log, official receipt, payment evidence, correspondence and correction record. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the required item is complete, accurate, approved, submitted within the confirmed deadline and supported by an official acknowledgement and retained working papers. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes late/non-filing, inaccurate or incomplete data, unauthorized submission, missing payment, unsupported adjustment, absent official receipt or an outdated statutory register.",All legal entities and corporate offices,Company Secretary / Board Office
Statutory Registers,Corporate Governance Compliance,"Governance, Legal & Integrity","Statutory Registers is the controlled preparation, review, approval, submission and retention of a mandatory filing, return, disclosure, register or formal record. Within Corporate Governance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","Timely and accurate filings demonstrate accountability and prevent penalties, invalid corporate actions, tax exposure, regulator concern and unreliable public or stakeholder information.","It is needed where legislation, regulators, licences, standards, contracts or governance rules impose a form, content, frequency or deadline. Primary catalogue basis: ISO 37000; G20/OECD Principles; King IV. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use a validated compliance calendar, controlled source data, reconciliation, maker-checker approval, authorized submission, official acknowledgement, exception handling and post-filing review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Validate source, scope, form and deadline; identify data owners; reconcile source data; perform technical and Legal/Finance review as relevant; secure authorized approval; file before deadline; retain submitted version and official receipt; correct errors transparently; monitor changes. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Completed filing/return/register, source-data reconciliation, review checklist, approvals, submission log, official receipt, payment evidence, correspondence and correction record. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the required item is complete, accurate, approved, submitted within the confirmed deadline and supported by an official acknowledgement and retained working papers. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes late/non-filing, inaccurate or incomplete data, unauthorized submission, missing payment, unsupported adjustment, absent official receipt or an outdated statutory register.",All legal entities and corporate offices,Company Secretary / Board Office
